"FID_DeerRa","COUNTY_NAM","Shape_Leng","Shape_Area","FID_dmu_20","DEER_MGMT_","DMUArea","AREA_SQM"
6,"Buffalo",5695342.48166,1450045154.51,121,"61",3283.6446345,552.733398921
6,"Buffalo",5695342.48166,1450045154.51,140,"61B",19.3958260226,1.1641455559
12,"Crawford",4323581.91309,1178814390.46,150,"74A",828.378053146,0.00176861205229
12,"Crawford",4323581.91309,1178814390.46,156,"71-CWD",2311.26702133,57.7091426215
12,"Crawford",4323581.91309,1178814390.46,160,"74B",1553.92131675,397.421485838
12,"Crawford",4323581.91309,1178814390.46,171,"73D",643.929129708,0.0103836628867
22,"Grant",7330495.82404,1417197915.3,156,"71-CWD",2311.26702133,1.05224007259
22,"Grant",7330495.82404,1417197915.3,160,"74B",1553.92131675,0.858956789462
22,"Grant",7330495.82404,1417197915.3,169,"73E-CWD",1026.3059849,140.206275283
22,"Grant",7330495.82404,1417197915.3,171,"73D",643.929129708,158.452412362
22,"Grant",7330495.82404,1417197915.3,177,"73A",17.1599447111,5.65346666947
22,"Grant",7330495.82404,1417197915.3,179,"73B",1406.85550667,185.114405279
22,"Grant",7330495.82404,1417197915.3,180,"73B-CWD",416.744494934,53.5786359085
22,"Grant",7330495.82404,1417197915.3,183,"75D-CWD",1409.78200846,1.48738662584
27,"Jackson",5655543.20064,2142628047.74,128,"59C",2211.31687599,358.462005882
27,"Jackson",5655543.20064,2142628047.74,129,"55",1753.38650426,432.454773832
27,"Jackson",5655543.20064,2142628047.74,132,"56",954.930907318,4.00698683785
27,"Jackson",5655543.20064,2142628047.74,137,"72",1936.95082531,16.401533495
27,"Jackson",5655543.20064,2142628047.74,138,"MCC",241.746591175,0.00723274899504
27,"Jackson",5655543.20064,2142628047.74,139,"59D",1485.78769739,9.4484779084
32,"La Crosse",3322902.69147,828893532.641,121,"61",3283.6446345,0.0118142390572
32,"La Crosse",3322902.69147,828893532.641,128,"59C",2211.31687599,0.0245214685566
32,"La Crosse",3322902.69147,828893532.641,139,"59D",1485.78769739,270.604205752
32,"La Crosse",3322902.69147,828893532.641,149,"59M",162.096709431,43.4659882541
32,"La Crosse",3322902.69147,828893532.641,150,"74A",828.378053146,5.93105248195
42,"Monroe",6734264.34182,1677921915.52,128,"59C",2211.31687599,30.6072137802
42,"Monroe",6734264.34182,1677921915.52,129,"55",1753.38650426,20.3957411937
42,"Monroe",6734264.34182,1677921915.52,132,"56",954.930907318,64.6736558662
42,"Monroe",6734264.34182,1677921915.52,137,"72",1936.95082531,328.778303854
42,"Monroe",6734264.34182,1677921915.52,138,"MCC",241.746591175,74.5701328475
42,"Monroe",6734264.34182,1677921915.52,139,"59D",1485.78769739,74.4696268731
47,"Pepin",1944404.45707,427481267.544,121,"61",3283.6446345,96.1721245565
53,"Richland",4712524.51269,1074686387.88,156,"71-CWD",2311.26702133,408.266545285
62,"Trempealeau",5289141.95847,1402558198.6,121,"61",3283.6446345,282.00908706
62,"Trempealeau",5289141.95847,1402558198.6,128,"59C",2211.31687599,234.067070755
62,"Trempealeau",5289141.95847,1402558198.6,139,"59D",1485.78769739,4.17272026655
62,"Trempealeau",5289141.95847,1402558198.6,140,"61B",19.3958260226,2.90925988695
62,"Trempealeau",5289141.95847,1402558198.6,144,"61A",7.0678163691,2.35660629294
63,"Vernon",5654107.88684,1361968298.82,137,"72",1936.95082531,156.438557449
63,"Vernon",5654107.88684,1361968298.82,139,"59D",1485.78769739,25.2501481481
63,"Vernon",5654107.88684,1361968298.82,149,"59M",162.096709431,0.0613491337592
63,"Vernon",5654107.88684,1361968298.82,150,"74A",828.378053146,194.13661361
63,"Vernon",5654107.88684,1361968298.82,154,"72A",16.619615068,5.85981141447
63,"Vernon",5654107.88684,1361968298.82,156,"71-CWD",2311.26702133,110.443047443
63,"Vernon",5654107.88684,1361968298.82,160,"74B",1553.92131675,33.2861528903
5,"Brown",2336438.22904,294715331.076,120,"64M",937.30520498,81.0118958563
5,"Brown",2336438.22904,294715331.076,124,"63B",0.0123771509408,0.00307491391511
5,"Brown",2336438.22904,294715331.076,125,"63B",0.283408303212,0.0624434800743
5,"Brown",2336438.22904,294715331.076,127,"63B",0.500748026861,0.0627035822561
5,"Brown",2336438.22904,294715331.076,133,"64",2473.88026698,27.668897117
8,"Calumet",1276602.85896,177572197.146,133,"64",2473.88026698,57.1630539943
8,"Calumet",1276602.85896,177572197.146,136,"W",534.171888919,0.084690746498
8,"Calumet",1276602.85896,177572197.146,146,"69",2627.8151406,10.3726093138
