Date,Year,Month,Value,,
187201,1872,1,-0.41,,
187202,1872,2,-0.33,,
187203,1872,3,-0.23,,
187204,1872,4,-0.52,,
187205,1872,5,-0.32,,
187206,1872,6,-0.22,,
187207,1872,7,-0.52,,
187208,1872,8,-0.82,,
187209,1872,9,-0.16,,
187210,1872,10,-0.34,,
187211,1872,11,-1.97,,
187212,1872,12,-2.21,,
187301,1873,1,-2.27,,
187302,1873,2,-1.77,,
187303,1873,3,-1.43,,
187304,1873,4,-0.48,,
187305,1873,5,-0.5,,
187306,1873,6,-0.4,,
187307,1873,7,-0.49,,
187308,1873,8,-1.24,,
187309,1873,9,-1.5,,
187310,1873,10,-1.11,,
187311,1873,11,-1.04,,
187312,1873,12,-1.02,,
187401,1874,1,-0.75,,
187402,1874,2,-0.38,,
187403,1874,3,-0.47,,
187404,1874,4,-0.5,,
187405,1874,5,0.21,,
187406,1874,6,-0.05,,
187407,1874,7,-0.2,,
187408,1874,8,-0.34,,
187409,1874,9,0.22,,
187410,1874,10,0.72,,
187411,1874,11,0.85,,
187412,1874,12,-0.42,,
187501,1875,1,-0.84,,
187502,1875,2,-1.35,,
187503,1875,3,-1.48,,
187504,1875,4,-1.6,,
187505,1875,5,-0.86,,
187506,1875,6,-0.88,,
187507,1875,7,-1.31,,
187508,1875,8,-1.62,,
187509,1875,9,-1.37,,
187510,1875,10,-0.59,,
187511,1875,11,0,,
187512,1875,12,-0.27,,
187601,1876,1,-0.77,,
187602,1876,2,-0.89,,
187603,1876,3,-0.89,,
187604,1876,4,-0.09,,
187605,1876,5,-1.87,,
187606,1876,6,-0.75,,
187607,1876,7,-1.81,,
187608,1876,8,-2.71,,
187609,1876,9,-1.67,,
187610,1876,10,-0.67,,
187611,1876,11,-0.58,,
187612,1876,12,-1.15,,
187701,1877,1,-0.73,,
187702,1877,2,-0.14,,
187703,1877,3,0.68,,
187704,1877,4,-0.65,,
187705,1877,5,-0.55,,
187706,1877,6,-1.11,,
187707,1877,7,-0.95,,
187708,1877,8,-1.08,,
187709,1877,9,-1.3,,
187710,1877,10,-1.46,,
187711,1877,11,-3.02,,
187712,1877,12,0.2,,
187801,1878,1,-0.59,,
187802,1878,2,-0.34,,
187803,1878,3,0.19,,
187804,1878,4,1.36,,
187805,1878,5,1.39,,
187806,1878,6,2.84,,
187807,1878,7,1.69,,
187808,1878,8,0.48,,
187809,1878,9,-0.83,,
187810,1878,10,-0.31,,
187811,1878,11,0.77,,
187812,1878,12,1.16,,
187901,1879,1,-0.67,,
187902,1879,2,0.14,,
187903,1879,3,0.34,,
187904,1879,4,1.01,,
187905,1879,5,-1.12,,
187906,1879,6,-1.25,,
187907,1879,7,-2.15,,
187908,1879,8,-0.46,,
187909,1879,9,-0.78,,
187910,1879,10,-1.27,,
187911,1879,11,-1.02,,
187912,1879,12,-0.67,,
188001,1880,1,-0.82,,
188002,1880,2,-1.13,,
188003,1880,3,-2.01,,
188004,1880,4,-3.23,,
188005,1880,5,-3.16,,
188006,1880,6,-2.99,,
188007,1880,7,-2.78,,
188008,1880,8,-2.54,,
188009,1880,9,-2.14,,
188010,1880,10,-1.18,,
188011,1880,11,-1.52,,
188012,1880,12,0.68,,
188101,1881,1,0.27,,
188102,1881,2,-1,,
188103,1881,3,-0.36,,
188104,1881,4,0.56,,
188105,1881,5,0.29,,
188106,1881,6,0.08,,
188107,1881,7,-1.31,,
188108,1881,8,-2.01,,
188109,1881,9,0.46,,
188110,1881,10,0.58,,
188111,1881,11,-0.05,,
188112,1881,12,-0.64,,
188201,1882,1,-2.71,,
188202,1882,2,-1.98,,
188203,1882,3,-2.61,,
188204,1882,4,-2.92,,
188205,1882,5,-2.51,,
188206,1882,6,-1.1,,
188207,1882,7,-2.5,,
188208,1882,8,-0.84,,
188209,1882,9,-0.78,,
188210,1882,10,-1.68,,
188211,1882,11,-1.88,,
188212,1882,12,-0.72,,
188301,1883,1,-1.48,,
188302,1883,2,-1.57,,
188303,1883,3,-1.51,,
188304,1883,4,-0.49,,
188305,1883,5,-0.51,,
188306,1883,6,-0.87,,
188307,1883,7,-1.75,,
188308,1883,8,-1.94,,
188309,1883,9,-2.14,,
188310,1883,10,-1.21,,
188311,1883,11,-0.14,,
188312,1883,12,-1.4,,
188401,1884,1,-1.97,,
188402,1884,2,-1.67,,
188403,1884,3,-1.09,,
188404,1884,4,-0.43,,
188405,1884,5,0.05,,
188406,1884,6,0.69,,
188407,1884,7,0.9,,
188408,1884,8,1.12,,
188409,1884,9,0.68,,
188410,1884,10,-0.19,,
188411,1884,11,1.3,,
188412,1884,12,1.4,,
188501,1885,1,3.69,,
188502,1885,2,0.63,,
188503,1885,3,1.59,,
188504,1885,4,1.17,,
188505,1885,5,0.74,,
188506,1885,6,-0.52,,
188507,1885,7,-0.51,,
188508,1885,8,-0.42,,
188509,1885,9,-0.64,,
188510,1885,10,0.02,,
188511,1885,11,-0.11,,
188512,1885,12,-0.51,,
188601,1886,1,-0.41,,
188602,1886,2,-0.22,,
188603,1886,3,-1.01,,
188604,1886,4,-0.56,,
188605,1886,5,-0.47,,
188606,1886,6,-1.47,,
188607,1886,7,-0.16,,
188608,1886,8,-0.61,,
188609,1886,9,-0.39,,
188610,1886,10,-1.04,,
188611,1886,11,-1.68,,
188612,1886,12,-1.2,,
188701,1887,1,-0.64,,
