DNR_REGION,DNR_CNTY_C,COUNTY_NAM,COUNTY_FIP,SHAPE_AREA,SHAPE_LEN,Area_km2,Area_mile2,Longitude,Latitude
Northern Region,55,Rusk,107,2409930944.72000000000,211796.56678400000,2409.93094472000,930.47953981500,-91.13330709290,45.47524670900
Northern Region,3,Barron,5,2304013499.74000000000,191882.68979800000,2304.01349974000,889.58458567400,-91.84840137840,45.42359619090
Northern Region,49,Polk,95,2477352683.89000000000,237962.48927600000,2477.35268389000,956.51121884300,-92.44146441240,45.46113791830
Northeast Region,38,Marinette,75,3702103112.09000000000,389404.76562900000,3702.10311209000,1429.39000291000,-88.03291870220,45.38255373450
Northern Region,44,Oneida,85,3200078055.69000000000,260146.24698700000,3200.07805569000,1235.55704497000,-89.52163196680,45.70571153290
Northern Region,51,Price,99,3307613323.23000000000,232671.32745300000,3307.61332323000,1277.07664389000,-90.36155182580,45.67993456880
Northern Region,19,Florence,37,1287732789.20000000000,186024.22247900000,1287.73278920000,497.19640959900,-88.39800107420,45.84847216180
Northern Region,21,Forest,41,2708836355.22000000000,256474.61012400000,2708.83635522000,1045.88756402000,-88.76999236780,45.66683730070
Northern Region,58,Sawyer,113,3494980627.29000000000,250615.25656800000,3494.98062729000,1349.41956444000,-91.14452357660,45.87986476260
Northern Region,66,Washburn,129,2208826420.76000000000,193998.14298100000,2208.82642076000,852.83264901200,-91.79127904830,45.89885172720
Northern Region,7,Burnett,13,2278506549.40000000000,255299.19099600000,2278.50654940000,879.73629709000,-92.36796909770,45.86261316790
Northern Region,64,Vilas,125,2634484407.11000000000,250507.67222600000,2634.48440711000,1017.18011636000,-89.51474450980,46.05302205190
Northern Region,26,Iron,51,2076555824.22000000000,241955.54318900000,2076.55582422000,801.76268617100,-90.24139523210,46.26199097710
Northern Region,2,Ashland,3,2730311785.12000000000,528905.87456000000,2730.31178512000,1054.17927387000,-90.67768653410,46.31404464550
Northern Region,16,Douglas,31,3476446003.17000000000,258177.01722800000,3476.44600317000,1342.26330605000,-91.91627597580,46.43267859870
Northern Region,4,Bayfield,7,3914442993.70000000000,342451.97934400000,3914.44299370000,1511.37488956000,-91.20125696300,46.52294183130
