Region,UnitGroup,Unit,DeerRangeOld,DeerRange2001,60_64,65_69,70_74,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
NorthFor,C,28,615,656,4,3,3,1,2,,5,4,3,7,6,,3,,1,,3,,4,,5,4,5,8,9,4,7,5,6,7,7,8,8,6,9,6,5,8,7,6,5,6
NorthFor,C,29A,257,239,9,5,5,3,6,,7,5,8,6,5,,5,,3,,6,,5,,8,7,6,8,8,10,8,9,6,9,11,10,10,9,12,6,6,12,11,8,10,7
NorthFor,C,29B,202,233,9,5,5,3,6,,7,5,8,6,5,,3,,3,,5,,2,,9,6,1,3,3,3,4,6,5,5,6,7,9,4,8,6,5,4,6,7,4,4
NorthFor,D,30,315,315,11,10,7,6,13,,10,10,8,5,8,,9,,5,,9,,11,,10,8,1,6,10,8,5,9,13,10,7,9,12,9,12,12,10,7,11,8,6,9
NorthFor,D,31,402,414,12,15,12,9,14,,15,17,17,17,11,,10,,6,,16,,15,,16,11,4,11,10,14,14,13,14,14,12,10,11,17,11,12,12,8,13,12,10,10
NorthFor,D,32,499,487,8,11,10,9,15,,12,12,15,12,14,,13,,13,,15,,13,,16,8,7,10,8,12,11,10,16,14,10,13,13,14,14,13,13,10,13,11,13,13
EastFrm,K,33,258,276,3,4,6,5,2,,8,9,7,11,10,,13,,12,,16,,20,,14,14,22,20,11,15,17,18,15,16,12,17,10,16,15,16,17,15,8,12,13,11
NorthFor,E,34,236,262,8,11,8,7,12,,5,9,6,15,8,,4,,4,,9,,9,,16,7,11,11,10,12,14,11,15,10,10,10,9,9,14,6,7,12,8,7,5,6
NorthFor,E,35,372,409,12,11,15,10,13,,17,16,14,11,12,,14,,9,,18,,21,,22,12,16,19,16,20,23,18,23,19,20,16,13,11,18,16,19,15,15,7,17,11
NorthFor,E,36,233,274,21,25,27,21,31,,31,25,26,21,16,,15,,12,,22,,22,,32,19,17,28,28,22,25,29,27,25,17,24,23,23,20,18,22,18,17,20,17,12
NorthFor,E,37,215,235,15,18,17,16,24,,27,19,19,33,29,,25,,9,,20,,18,,30,19,8,26,21,23,21,29,23,18,20,20,18,18,17,14,16,9,27,15,13,19
NorthFor,F,38,365,388,8,7,9,4,9,,8,14,7,12,9,,11,,7,,9,,7,,13,13,17,16,13,21,12,11,13,12,8,6,11,9,14,6,11,14,10,9,9,9
NorthFor,G,39,383,411,10,9,10,4,8,,11,11,12,12,11,,13,,11,,17,,15,,21,11,20,16,16,12,11,15,16,11,11,10,13,13,12,16,8,7,13,8,9,11
NorthFor,G,40,331,328,9,11,9,6,9,,8,10,7,19,17,,13,,13,,23,,14,,16,13,24,22,29,17,14,23,16,18,21,17,25,11,16,18,14,15,13,16,12,17
NorthFor,H,41,201,195,12,16,20,14,21,,29,26,25,15,21,,18,,17,,13,,26,,33,20,21,27,27,29,27,28,26,30,28,29,24,21,29,14,28,29,18,18,24,21
NorthFor,F,42,310,327,10,11,11,13,18,,16,14,17,21,22,,16,,12,,13,,18,,15,12,15,11,19,17,15,16,10,15,12,17,17,12,17,9,13,13,13,17,10,11
NorthFor,F,43,429,408,6,8,8,6,7,,13,11,11,15,13,,12,,11,,13,,13,,8,12,13,16,12,15,16,16,13,15,13,11,14,12,11,11,15,13,10,8,9,15
NorthFor,F,44,445,466,13,12,12,8,10,,15,15,17,20,18,,20,,15,,16,,19,,17,15,17,19,22,20,18,17,23,15,17,15,14,11,12,18,18,15,13,11,15,15
NorthFor,H,45,584,593,14,17,12,7,11,,19,16,20,20,26,,23,,16,,23,,26,,28,17,21,25,28,23,17,22,21,21,17,21,18,17,12,18,14,18,14,15,10,18
EastFrm,K,46,317,321,10,12,16,16,22,,21,20,19,18,21,,19,,15,,21,,26,,13,16,20,15,19,23,18,19,19,17,17,15,15,19,17,15,18,16,22,15,14,13
EastFrm,K,47,266,269,7,10,10,13,11,,14,13,19,17,14,,18,,25,,15,,15,,23,14,30,28,18,30,16,22,19,16,17,27,28,23,24,13,25,21,19,24,20,19
EastFrm,K,48,,356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NorthFor,H,49A,244,235,28,29,38,24,39,,40,50,53,37,44,,34,,18,,35,,35,,42,21,14,30,22,37,30,35,40,28,37,24,45,19,35,25,22,31,22,25,20,18
NorthFor,H,49B,195,182,28,29,38,24,39,,40,50,53,37,44,,34,,18,,35,,35,,36,26,21,34,31,37,40,25,24,29,25,32,26,22,24,22,32,19,22,23,18,22
NorthFor,G,50,336,334,12,9,12,5,6,,11,15,17,9,12,,11,,14,,15,,17,,29,14,37,20,26,20,20,18,19,22,23,22,25,17,18,14,20,18,18,14,16,17
EastFrm,K,51A,190,220,11,10,17,14,22,,22,18,22,27,27,,22,,31,,34,,29,,23,25,33,31,25,40,29,25,23,24,25,26,18,16,25,26,26,27,24,22,12,13
EastFrm,K,51B,431,389,11,10,17,14,22,,22,18,22,27,27,,22,,31,,34,,20,,25,27,28,20,11,28,23,23,20,22,23,21,12,21,18,27,24,22,28,25,22,25
NorthFor,F,52,311,304,13,18,16,9,14,,29,19,16,21,19,,19,,15,,22,,23,,22,9,15,15,13,16,17,17,13,17,14,10,9,16,18,13,17,13,13,16,14,12
CentFor,L,53,439,461,19,29,38,40,42,,39,36,33,31,30,,34,,23,,30,,32,,25,37,30,32,31,29,30,30,29,26,27,30,27,27,20,19,20,25,24,22,17,19
CentFor,L,54A,455,484,17,24,28,24,27,,27,29,31,30,29,,29,,22,,23,,24,,27,30,20,35,33,28,28,26,28,28,25,22,25,23,25,25,20,30,23,25,21,18
SouthFrm,M,54B,315,389,17,24,25,24,34,,34,26,23,34,33,,31,,32,,22,,12,,22,23,29,21,18,27,34,37,21,22,20,21,13,31,17,35,32,53,30,35,35,34
SouthFrm,N,54C,81,95,17,24,25,24,34,,34,26,23,34,33,,31,,28,,28,,32,,33,43,32,27,20,28,41,33,25,20,24,16,26,26,18,25,17,26,23,17,28,21
CentFor,L,55,600,631,27,30,34,32,40,,44,39,40,36,33,,30,,32,,33,,26,,26,32,31,28,24,27,26,25,21,22,18,24,20,18,18,16,15,20,17,16,19,13
CentFor,L,56,328,335,20,29,28,31,45,,39,29,36,30,31,,24,,23,,33,,19,,27,20,16,21,25,25,22,22,18,20,18,15,18,20,17,17,15,14,10,15,9,15
EastFrm,K,57,171,146,7,14,16,12,20,,21,20,18,19,22,,21,,23,,17,,21,,10,13,14,16,11,17,15,9,19,17,13,17,16,16,19,28,22,23,18,14,15,18
EastFrm,K,57A,230,238,7,14,17,13,23,,17,18,17,24,25,,22,,21,,27,,30,,25,33,22,19,19,29,24,20,23,21,16,21,20,17,19,23,19,21,20,20,19,17
EastFrm,K,57B,224,252,7,14,14,11,16,,24,21,18,14,18,,21,,28,,18,,22,,26,23,23,9,25,29,21,23,24,11,14,15,19,16,24,24,16,22,18,18,19,16
EastFrm,K,57C,212,266,7,14,27,18,25,,28,26,23,22,20,,25,,28,,12,,23,,14,31,29,17,22,31,29,29,25,18,16,16,19,13,19,18,15,17,16,16,20,20
CentFor,L,58,464,506,15,17,19,20,21,,27,27,29,26,22,,27,,30,,31,,31,,27,19,31,23,25,26,23,25,27,29,18,22,21,20,22,22,19,18,26,21,24,14
WestFrm,M,59A,455,520,7,9,5,3,5,,5,6,10,11,8,,11,,16,,18,,17,,14,8,13,16,14,18,15,13,16,15,12,13,14,13,13,19,11,12,15,13,17,12
WestFrm,M,59B,581,687,7,9,15,5,12,,12,20,15,17,17,,22,,14,,6,,11,,16,11,25,19,20,21,21,17,12,11,12,12,12,13,8,12,10,14,13,11,15,13
WestFrm,M,59C,493,626,7,9,27,25,31,,36,32,42,50,47,,35,,17,,26,,29,,32,29,52,39,35,39,32,30,26,22,18,20,17,19,25,19,20,23,21,24,21,19
WestFrm,M,59D,386,384,7,9,13,5,14,,17,24,19,9,14,,6,,5,,24,,20,,4,16,11,17,18,16,12,18,20,16,17,20,13,19,13,21,14,17,18,17,15,19
WestFrm,M,59M,20,44,,,,,,,,,,,,,,,,,,,,,,,,,24,11,24,42,23,27,3,4,23,5,15,26,14,15,8,5,23,
WestFrm,J,60,153,,7,12,17,5,16,,17,21,23,25,21,,27,,15,,13,,17,,15,4,35,25,,,,,,,,,,,,,,,,,,
WestFrm,M,60A,178,170, , , , , ,, , , , , ,, ,,2,,2,,2,,20,1,20,19,13,13,14,18,14,21,16,13,13,16,17,20,16,15,28,24,24,13
WestFrm,J,60B,83,83,,,,,,,,,,,,,,,,,,,,,,,,,20,28,12,26,13,15,24,21,10,22,34,28,20,35,24,19,12,18
WestFrm,J,60M,70,80,,,,,,,,,,,,,,,,,,,,,,,,,21,14,14,16,20,7,22,10,17,8,19,17,9,16,16,18,8,16
WestFrm,M,61,778,958,14,13,19,11,21,,27,24,27,19,24,,24,,18,,14,,13,,4,13,6,17,18,7,13,15,16,15,16,15,14,18,13,16,15,14,12,13,14,14
EastFrm,K,62A,394,402,13,19,24,17,31,,26,29,31,29,29,,37,,28,,21,,34,,20,46,28,33,28,28,29,21,33,22,20,18,27,24,28,24,23,16,22,23,26,19
EastFrm,K,62B,354,363,13,19,33,31,42,,36,36,36,43,44,,45,,23,,34,,20,,40,24,48,33,41,17,34,28,30,38,29,34,40,35,45,34,43,31,37,35,37,36
EastFrm,K,63A,295,339,9,17,30,36,44,,40,31,32,32,35,,39,,10,,29,,27,,42,8,37,30,20,45,32,25,42,32,27,35,26,33,37,30,33,26,29,26,32,26
