County,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Iron,0.19,0.82,0.51,0.86,0.68,0.77,0.22,0.02,0.12,0.11,0.07,0.16,0.09,0.09,0.08,0.04,0.08,0.03,0.04,0.05,0.03,0.04,0.01,0.08,0.07,0.06,0.07,0.11,0.16
Jackson,0.64,0.68,0.8,0.69,0.72,0.7,0.67,0.83,0.49,0.5,0.59,0.66,0.61,0.61,0.51,0.56,0.5,0.34,0.31,0.27,0.21,0.23,0.22,0.25,0.28,0.23,0.17,0.21,0.27
Jefferson,0.27,0.36,0.43,0.38,0.41,0.5,0.49,0.46,0.4,0.36,0.38,0.39,0.38,0.33,0.36,0.4,0.4,0.39,0.35,0.34,0.34,0.32,0.28,0.28,0.3,0.31,0.38,0.36,0.40
Juneau,0.46,0.52,0.55,0.52,0.44,0.4,0.45,0.47,0.34,0.34,0.42,0.39,0.31,0.3,0.28,0.29,0.31,0.28,0.34,0.41,0.3,0.3,0.31,0.28,0.31,0.3,0.24,0.25,0.30
Kenosha,0.08,0.09,0.12,0.12,0.13,0.16,0.13,0.14,0.14,0.11,0.08,0.09,0.12,0.09,0.11,0.11,0.12,0.08,0.11,0.1,0.09,0.09,0.1,0.11,0.11,0.1,0.11,0.11,0.11
Kewaunee,0.83,0.67,0.69,0.56,0.74,0.8,0.57,0.44,0.38,0.32,0.24,0.17,0.09,0.09,0.12,0.12,0.05,0.06,0.09,0.42,0.4,0.57,0.44,0.31,0.35,0.53,0.87,1.15,1.13
La Crosse,0.27,0.33,0.27,0.25,0.32,0.33,0.32,0.36,0.37,0.33,0.27,0.35,0.26,0.3,0.3,0.29,0.31,0.32,0.37,0.42,0.35,0.34,0.37,0.34,0.41,0.37,0.39,0.38,0.33
Lafayette,0.54,0.47,0.68,0.63,0.66,0.83,0.81,0.73,0.6,0.65,0.57,0.61,0.65,0.7,0.81,0.88,1.02,0.92,0.94,1.07,1.1,1.17,0.94,0.8,0.8,0.67,0.61,0.78,1.08
Langlade,0.25,0.27,0.62,0.69,0.49,0.59,0.55,0.61,0.3,0.3,0.27,0.19,0.16,0.21,0.2,0.19,0.1,0.12,0.13,0.16,0.08,0.16,0.09,0.66,0.53,0.61,0.49,0.64,0.51
Lincoln,0.57,0.65,0.58,0.45,0.46,0.6,0.52,0.55,0.39,0.56,0.73,0.71,0.6,0.52,0.62,0.86,0.71,0.55,0.58,0.65,0.51,0.52,0.59,0.7,0.61,0.56,0.54,0.68,0.49
Manitowoc,0.46,0.5,0.5,0.53,0.53,0.72,0.71,0.64,0.64,0.48,0.43,0.49,0.46,0.44,0.44,0.49,0.52,0.48,0.46,0.41,0.41,0.4,0.47,0.51,0.66,0.7,0.85,0.87,0.78
Marathon,0.84,0.94,0.9,0.83,0.88,0.82,0.98,1.04,0.78,0.73,0.76,0.63,0.68,0.5,0.46,0.48,0.39,0.33,0.36,0.28,0.28,0.33,0.33,0.36,0.38,0.35,0.28,0.27,0.29
Marinette,1.63,1.74,1.68,1.75,1.66,1.79,2.12,0.28,0.19,0.13,0.2,0.38,0.33,0.28,0.36,0.23,0.2,0.12,0.16,0.2,0.21,0.19,0.21,0.22,0.17,0.18,0.17,0.18,0.14
Marquette,1.79,2.04,2.38,2.08,2.07,2.37,2.01,1.74,1.29,1.31,1.08,1.16,1.08,1.02,0.79,0.66,0.53,0.62,0.85,0.84,0.57,0.59,0.61,0.43,0.46,0.39,0.61,0.65,0.67
Menominee,0.15,0.11,0.03,0.08,0.12,0.16,0.08,0.38,0.08,0.17,0.07,0.12,0.06,0.15,0.06,0.04,0.02,0.19,0.08,0.19,0.1,0.06,0.19,0.24,0.14,0.2,0,0.29,0.02
